storm_id,datetime,lat,lon,wind,pressure
AL2019_01,2019-08-20 00:00:00,10.0,-50.0,40,1000
AL2019_01,2019-08-20 06:00:00,10.3,-50.4,42,998
AL2019_01,2019-08-20 12:00:00,10.6,-50.9,45,996
AL2019_01,2019-08-20 18:00:00,10.9,-51.2,47,994
AL2019_01,2019-08-21 00:00:00,11.1,-51.6,50,992
AL2019_02,2019-09-01 00:00:00,12.0,-55.0,35,1002
AL2019_02,2019-09-01 06:00:00,12.3,-55.5,38,1000
AL2019_02,2019-09-01 12:00:00,12.7,-56.0,42,998
AL2019_02,2019-09-01 18:00:00,13.0,-56.5,45,996
AL2019_02,2019-09-02 00:00:00,13.3,-57.0,47,995
